SampleNumber,VerificationResult,ObjectiveValue,ObjectiveBound,MainSolveTime,TotalTime
1,Timeout,NaN,67.87985210876455,900.7780251502991,1106.42957127
2,UNSAT,-0.9056567999637577,-0.07314519690205692,184.39675211906433,214.224763992
3,Timeout,NaN,251.77326412656512,900.0246288776398,1561.382488935
4,UNSAT,-0.9915039437280272,-0.000700530372955718,212.6548011302948,231.161194199
5,Timeout,NaN,113.11245510029212,902.7181301116943,1287.734801325
6,Timeout,NaN,227.8348257387596,900.0093429088593,1226.773978902
7,Timeout,NaN,65.18269486084378,900.1525449752808,1098.675491921
8,Timeout,NaN,209.18211995678018,900.0061130523682,1151.206300296
9,Timeout,-0.8880466836128924,3.2317213208801787,900.009908914566,954.168775143
10,Timeout,NaN,5.822405171109291,900.0025770664215,974.904632628
11,Timeout,-0.9725409011912745,1.967233677264894,900.0051028728485,955.452715183
12,UNSAT,-0.9713748320502501,-0.046344235947046813,636.2381620407104,671.215916674
13,Timeout,NaN,58.01833885890238,900.0049772262573,1036.322294937
14,UNSAT,-0.9534162464165578,-0.0025945764589480613,343.7043559551239,357.01636824
15,Timeout,NaN,99.3275114044254,900.0058481693268,1212.168583797
16,Timeout,NaN,64.94917560618386,900.003545999527,1117.757104995
17,Timeout,NaN,159.55553513948962,900.0051310062408,1108.153966457
18,Timeout,-0.8806232168007483,2.5040662945748227,900.011617898941,950.960745101
19,Timeout,NaN,76.7177472198625,900.1734991073608,1019.16915396
20,Timeout,NaN,130.1200854130144,900.671061038971,1113.379130671
21,Timeout,NaN,142.61440396075633,900.0042958259583,1080.606803161
22,Timeout,NaN,74.90001937221828,900.009950876236,1148.267453112
23,Timeout,NaN,3.9493368322712246,900.0125992298126,973.46018903
24,Timeout,-0.9776564849938334,4.690748219508372,900.0066268444061,998.541706047
25,Timeout,NaN,259.2189645726822,900.0033979415894,1475.944190167
