Idx,Eps,SAT,Branches,Time(s)
0,0.3,True,0,0.6823563575744629
1,0.3,True,0,0.6833479404449463
2,0.3,True,0,0.6827642917633057
3,0.3,True,0,0.6854286193847656
4,0.3,True,0,0.6901371479034424
5,0.3,True,0,0.6819612979888916
6,0.3,True,0,0.6843435764312744
7,0.3,True,0,0.6838986873626709
8,0.3,True,2,3.179793357849121
9,0.3,True,0,0.6827032566070557
10,0.3,True,0,0.6813344955444336
11,0.3,True,0,0.6833624839782715
12,0.3,True,0,0.6838192939758301
13,0.3,True,0,0.6831634044647217
14,0.3,True,0,0.6828670501708984
15,0.3,True,0,0.68328857421875
16,0.3,True,0,0.6810431480407715
17,0.3,True,0,0.6865198612213135
18,0.3,False,0,1.8737678527832031
19,0.3,True,0,0.6837019920349121
20,0.3,True,0,0.6828455924987793
21,0.3,True,0,0.682837724685669
22,0.3,True,0,0.6850302219390869
23,0.3,True,0,0.6824910640716553
24,0.3,True,0,0.685476541519165
25,0.3,True,0,0.6841108798980713
26,0.3,True,0,0.6868777275085449
27,0.3,True,0,0.6824600696563721
28,0.3,True,0,0.6843945980072021
29,0.3,True,0,0.6844053268432617
30,0.3,True,0,0.6853876113891602
31,0.3,True,0,0.6829285621643066
32,0.3,True,0,0.6834468841552734
33,0.3,False,0,1.869229793548584
34,0.3,True,0,0.6864938735961914
35,0.3,True,0,0.6825416088104248
36,0.3,True,0,0.6841769218444824
37,0.3,True,0,0.6824278831481934
38,0.3,True,0,0.6844003200531006
39,0.3,True,0,0.6820788383483887
40,0.3,True,0,0.6839728355407715
41,0.3,True,0,0.6823208332061768
42,0.3,True,0,0.6810152530670166
43,0.3,True,2,3.1327874660491943
44,0.3,True,0,0.684453010559082
45,0.3,True,0,0.6836192607879639
46,0.3,True,0,0.683269739151001
47,0.3,True,0,0.6838493347167969
48,0.3,True,0,0.6833789348602295
49,0.3,True,0,0.6857175827026367
50,0.3,True,0,0.6866111755371094
51,0.3,True,0,0.687584638595581
52,0.3,True,0,0.6833767890930176
53,0.3,True,0,0.6818301677703857
54,0.3,True,0,0.6875381469726562
55,0.3,True,0,0.6893653869628906
56,0.3,True,0,0.6848888397216797
57,0.3,True,0,0.6838665008544922
58,0.3,True,0,0.6843256950378418
59,0.3,True,0,0.6839354038238525
60,0.3,True,0,0.684539794921875
61,0.3,True,0,0.685161828994751
62,0.3,True,0,0.685410737991333
63,0.3,True,0,0.6852636337280273
64,0.3,True,0,0.6859989166259766
66,0.3,True,0,0.6857945919036865
67,0.3,True,0,0.6857619285583496
68,0.3,True,0,0.6858611106872559
69,0.3,True,0,0.6860861778259277
70,0.3,True,0,0.6904137134552002
71,0.3,True,0,0.6842987537384033
72,0.3,True,0,0.6847052574157715
73,0.3,True,0,0.684788703918457
74,0.3,True,0,0.6851303577423096
75,0.3,True,0,0.6839549541473389
76,0.3,True,0,0.6898748874664307
77,0.3,True,0,0.6840949058532715
78,0.3,True,0,0.685779333114624
79,0.3,True,0,0.68489670753479
80,0.3,True,0,0.6853792667388916
81,0.3,True,0,0.6853723526000977
82,0.3,True,0,0.6876883506774902
83,0.3,True,0,0.6899175643920898
84,0.3,True,0,0.689410924911499
85,0.3,True,0,0.6855406761169434
86,0.3,True,0,0.6880159378051758
87,0.3,True,0,0.684899091720581
88,0.3,True,0,0.6867616176605225
89,0.3,True,0,0.6842269897460938
90,0.3,True,0,0.6851425170898438
91,0.3,True,0,0.6852626800537109
92,0.3,True,0,0.6840713024139404
93,0.3,True,0,0.6862773895263672
94,0.3,True,0,0.6844649314880371
95,0.3,True,0,0.6852707862854004
96,0.3,True,0,0.6853456497192383
97,0.3,True,0,0.6857531070709229
98,0.3,True,0,0.6855936050415039
99,0.3,True,0,0.6891818046569824
