Idx,Eps,prop,SAT,Branches,Time(s)
0,0.1,,False,0,0.37589430809020996
1,0.1,,False,0,0.3689901828765869
2,0.1,,False,0,0.3692176342010498
3,0.1,,False,0,0.36798882484436035
4,0.1,,False,0,0.3680570125579834
5,0.1,,False,0,0.37016773223876953
6,0.1,,False,0,0.3704495429992676
7,0.1,,False,0,0.3695707321166992
8,0.1,,False,0,0.369657039642334
9,0.1,,False,0,0.37026047706604004
10,0.1,,False,0,0.36985349655151367
11,0.1,,False,0,0.36966609954833984
12,0.1,,False,0,0.3702685832977295
13,0.1,,False,0,0.36957859992980957
14,0.1,,False,0,0.3705732822418213
15,0.1,,False,0,0.36965489387512207
16,0.1,,False,0,0.3695549964904785
17,0.1,,False,0,0.3710818290710449
18,0.1,,False,0,0.3696897029876709
19,0.1,,False,0,0.36958980560302734
20,0.1,,False,0,0.3700392246246338
21,0.1,,False,0,0.37192845344543457
22,0.1,,False,0,0.37244319915771484
23,0.1,,False,0,0.3715493679046631
24,0.1,,False,0,0.3714754581451416
25,0.1,,False,0,0.37172913551330566
26,0.1,,False,0,0.3717467784881592
27,0.1,,False,0,0.3727681636810303
28,0.1,,False,0,0.37427425384521484
29,0.1,,False,0,0.37430334091186523
30,0.1,,False,0,598.9420192241669
31,0.1,,False,0,0.39909982681274414
32,0.1,,False,0,0.367922306060791
33,0.1,,False,0,0.3652317523956299
34,0.1,,False,0,0.40328407287597656
35,0.1,,False,0,0.3966207504272461
36,0.1,,False,0,0.36597609519958496
37,0.1,,False,0,0.41239213943481445
38,0.1,,False,0,0.36614561080932617
39,0.1,,False,0,0.390026330947876
40,0.1,,False,0,0.4063413143157959
41,0.1,,False,0,0.3657820224761963
42,0.1,,False,0,0.41420602798461914
43,0.1,,False,0,0.3659329414367676
44,0.1,,False,0,0.3996739387512207
45,0.1,,False,0,0.4026150703430176
46,0.1,,False,0,0.3642740249633789
47,0.1,,False,0,0.41199517250061035
48,0.1,,False,0,0.3649575710296631
49,0.1,,False,0,0.4059638977050781
50,0.1,,False,0,0.3993492126464844
51,0.1,,False,0,0.36444830894470215
52,0.1,,False,0,0.40879225730895996
53,0.1,,False,0,0.366152286529541
54,0.1,,False,0,0.3868870735168457
55,0.1,,False,0,0.37610626220703125
56,0.1,,False,0,0.3648388385772705
57,0.1,,False,0,0.41170430183410645
58,0.1,,False,0,0.39625096321105957
59,0.1,,False,0,0.36910223960876465
60,0.1,,False,0,0.41382288932800293
61,0.1,,False,0,0.369309663772583
62,0.1,,False,0,0.40361666679382324
63,0.1,,False,0,0.4043598175048828
64,0.1,,False,0,0.3681638240814209
65,0.1,,False,0,0.41371607780456543
66,0.1,,False,0,0.36780667304992676
67,0.1,,False,0,0.4111001491546631
68,0.1,,False,0,0.380718469619751
69,0.1,,False,0,0.3673248291015625
70,0.1,,False,0,0.41251087188720703
71,0.1,,False,0,0.36682844161987305
72,0.1,,False,0,0.4061763286590576
73,0.1,,False,0,0.37282824516296387
74,0.1,,False,0,0.3679513931274414
75,0.1,,False,0,0.41475772857666016
76,0.1,,False,0,0.36979126930236816
77,0.1,,False,0,0.4090569019317627
78,0.1,,False,0,0.3755049705505371
79,0.1,,False,0,0.3980579376220703
80,0.1,,False,0,0.40845274925231934
81,0.1,,False,0,0.4023010730743408
82,0.1,,False,0,0.4115900993347168
83,0.1,,False,0,0.3689730167388916
84,0.1,,False,0,0.40526437759399414
85,0.1,,False,0,0.3831017017364502
86,0.1,,False,0,0.372969388961792
87,0.1,,False,0,0.39597153663635254
88,0.1,,False,0,0.38901233673095703
89,0.1,,False,0,0.40772008895874023
90,0.1,,False,0,0.3963589668273926
91,0.1,,False,0,0.39481639862060547
92,0.1,,False,0,0.38109564781188965
93,0.1,,False,0,0.4011690616607666
94,0.1,,False,0,0.4029102325439453
95,0.1,,False,0,0.4009573459625244
96,0.1,,False,0,0.40250611305236816
97,0.1,,False,0,0.36963534355163574
98,0.1,,False,0,0.36733174324035645
99,0.1,,False,0,0.4113600254058838
