Idx,Eps,prop,SAT,Branches,Time(s)
0,0.1,,False,0,1.1054096221923828
1,0.1,,False,0,1.0248081684112549
2,0.1,,False,0,1.0265610218048096
3,0.1,,False,0,0.9936890602111816
4,0.1,,False,0,1.0284130573272705
5,0.1,,False,0,1.011493444442749
6,0.1,,False,0,1.0253572463989258
7,0.1,,False,0,0.9882111549377441
8,0.1,,False,0,1.0037133693695068
9,0.1,,False,0,1.0290346145629883
10,0.1,,False,0,1.0108473300933838
11,0.1,,False,0,0.9982805252075195
12,0.1,,False,0,1.030998945236206
13,0.1,,False,0,1.0098402500152588
14,0.1,,False,0,1.0113394260406494
15,0.1,,False,0,1.0130481719970703
16,0.1,,False,0,1.0104234218597412
17,0.1,,False,0,1.003082275390625
18,0.1,,False,0,1.0253775119781494
19,0.1,,False,0,1.0198686122894287
20,0.1,,False,0,1.0070533752441406
21,0.1,,False,0,1.00130033493042
22,0.1,,False,0,1.0120468139648438
23,0.1,,False,0,0.9977028369903564
24,0.1,,False,0,0.9997520446777344
25,0.1,,False,0,1.033956527709961
26,0.1,,False,0,1.0162677764892578
27,0.1,,False,0,1.0125477313995361
28,0.1,,False,0,1.0137519836425781
29,0.1,,False,0,0.993920087814331
30,0.1,,False,0,1.0062007904052734
31,0.1,,False,0,1.0262463092803955
32,0.1,,False,0,0.9940578937530518
33,0.1,,False,0,1.0134375095367432
34,0.1,,False,0,1.018587589263916
35,0.1,,False,0,1.0121583938598633
36,0.1,,False,0,1.0016212463378906
37,0.1,,False,0,1.0154430866241455
38,0.1,,False,0,1.0218265056610107
39,0.1,,False,0,1.025202751159668
40,0.1,,False,0,1.023430347442627
41,0.1,,False,0,1.0194036960601807
42,0.1,,False,0,1.0155608654022217
43,0.1,,False,0,1.0183703899383545
44,0.1,,False,0,1.0273933410644531
45,0.1,,False,0,1.0265371799468994
46,0.1,,False,0,1.0149576663970947
47,0.1,,False,0,1.0131909847259521
48,0.1,,False,0,1.0340065956115723
49,0.1,,False,0,1.0050759315490723
50,0.1,,False,0,1.0216140747070312
51,0.1,,False,0,1.0202176570892334
52,0.1,,False,0,1.0202255249023438
53,0.1,,False,0,1.0107591152191162
54,0.1,,False,0,1.0033798217773438
55,0.1,,False,0,1.0190014839172363
56,0.1,,False,0,1.0154709815979004
57,0.1,,False,0,1.007814884185791
58,0.1,,False,0,1.024134874343872
59,0.1,,False,0,1.0033977031707764
60,0.1,,False,0,1.0017504692077637
61,0.1,,False,0,1.0081822872161865
62,0.1,,False,0,1.0174946784973145
63,0.1,,False,0,1.0273380279541016
64,0.1,,False,0,1.0286493301391602
65,0.1,,False,0,1.012561321258545
66,0.1,,False,0,1.0040037631988525
67,0.1,,False,0,1.0184240341186523
68,0.1,,False,0,1.0195531845092773
69,0.1,,False,0,1.011612892150879
70,0.1,,False,0,1.0109870433807373
71,0.1,,False,0,1.014176845550537
72,0.1,,False,0,1.0256640911102295
73,0.1,,False,0,1.0184574127197266
74,0.1,,False,0,1.0030920505523682
75,0.1,,False,0,1.0190510749816895
76,0.1,,False,0,1.020042896270752
77,0.1,,False,0,1.0153584480285645
78,0.1,,False,0,1.0160717964172363
79,0.1,,False,0,1.0064573287963867
80,0.1,,False,0,1.0106091499328613
81,0.1,,False,0,1.045283555984497
82,0.1,,False,0,1.0141968727111816
83,0.1,,False,0,1.009136438369751
84,0.1,,False,0,1.0108332633972168
85,0.1,,False,0,1.0085399150848389
86,0.1,,False,0,1.0139024257659912
87,0.1,,False,0,1.0046412944793701
88,0.1,,False,0,1.0267980098724365
89,0.1,,False,0,1.012542486190796
90,0.1,,False,0,1.0199568271636963
91,0.1,,False,0,1.0263664722442627
92,0.1,,False,0,1.0269768238067627
93,0.1,,False,0,1.0167696475982666
94,0.1,,False,0,1.0345091819763184
95,0.1,,False,0,1.0120420455932617
96,0.1,,False,0,1.0079514980316162
97,0.1,,False,0,1.0252466201782227
98,0.1,,False,0,1.0480360984802246
99,0.1,,False,0,0.991786003112793
