SampleNumber,VerificationResult,ObjectiveValue,ObjectiveBound,MainSolveTime,TotalTime
1,UNSAT,NaN,-0.05906360850965786,1.4079570770263672,24.769102616
2,UNSAT,NaN,-0.8510388394431327,0.879673957824707,27.147339872
3,UNSAT,NaN,-2.376877530895594,0.783379077911377,10.889956038
4,UNSAT,-4.111467915787117,-0.08092833374857923,35.5799241065979,56.96457276
5,Timeout,-2.226464112068814,0.6843239609339227,300.0029399394989,317.110983816
6,UNSAT,NaN,-2.1903570120091014,0.35573410987854004,7.033709767
7,Timeout,-2.3693124236149536,1.9892754416028593,300.0043749809265,318.951914788
8,Timeout,-1.6370102066830672,2.1477441062259555,300.0058538913727,317.818810648
9,SAT,0.3847340244036639,3.1936240381291867,15.885469913482666,29.212026375
10,Timeout,-1.2616592380848535,5.827931704799685,300.0176520347595,327.620724514
11,UNSAT,NaN,-2.5173889539796344,0.6120889186859131,20.12531352
12,Timeout,-4.872893749246508,5.147892255831001,300.0048930644989,338.647338686
13,Timeout,-1.1824841892439282,1.9400442107818425,300.006206035614,321.943886276
14,UNSAT,NaN,-0.07670169227656398,0.8971638679504395,27.03735937
15,UNSAT,NaN,-0.2862414102339198,0.17555904388427734,4.972468685
16,Timeout,-0.026407684724056857,3.91428879405914,300.0812680721283,330.317143298
17,UNSAT,-1.73303813684884,-0.08395318365042927,98.26451206207275,116.577986707
18,UNSAT,NaN,-1.2345005012533492,0.7550041675567627,17.019828209
19,Timeout,NaN,5.389556824934862,300.0030839443207,324.93770422
20,Timeout,NaN,2.6209047528850022,300.00157380104065,314.56197957
21,Timeout,-2.164581071390875,1.0202512627510676,300.00836205482483,314.078114856
22,UNSAT,NaN,-0.8295976544060464,0.6077530384063721,17.487102788
23,Timeout,-2.3615706661545857,4.936956294552168,300.0057611465454,330.485032862
24,UNSAT,-4.365701813104707,-2.3768658656817507,31.121031999588013,49.385702918
25,Timeout,-0.4931277256209581,7.010765640714527,300.01336693763733,331.141935334
