SampleNumber,VerificationResult,ObjectiveValue,ObjectiveBound,MainSolveTime,TotalTime
1,SAT,0.3332513945873067,0.42305524571233105,2.9222869873046875,4.313285231
2,UNSAT,NaN,-0.2640322867824697,0.09258222579956055,0.581107307
3,SAT,0.03602098950715393,0.3608012522098192,1.818922996520996,2.546217241
4,UNSAT,NaN,-0.8881088617140038,0.09792709350585938,0.59205192
5,SAT,0.21101204026688142,0.40821583530836075,0.1741480827331543,0.782308727
6,UNSAT,NaN,-0.01804225027720554,0.29126405715942383,1.016779814
7,UNSAT,-0.17710423822261206,-0.005894303294805259,2.4542200565338135,3.288383888
8,UNSAT,-0.8723017358487681,-0.05127892354488571,3.479707956314087,4.532299074
9,SAT,0.2899436129493062,0.5232969389692917,0.70461106300354,1.555371141
10,UNSAT,NaN,-0.856207097207664,0.09830498695373535,0.794195325
11,UNSAT,NaN,-0.989019275550885,0.08353996276855469,0.683866301
12,UNSAT,-0.9603684050207597,-0.7241106782445084,0.0972299575805664,0.916155224
13,UNSAT,NaN,-0.09271735964698996,0.1735398769378662,1.287211307
14,UNSAT,NaN,-0.7620966081402512,0.14814305305480957,0.866304497
15,UNSAT,NaN,-0.8337306956814257,0.15337300300598145,1.018555582
16,UNSAT,-1.0231787086091544,-0.9783614119177912,0.20313787460327148,1.039461285
17,UNSAT,NaN,-0.3745777202273778,0.24468517303466797,1.08178923
18,UNSAT,NaN,-0.1265696722396727,0.35502195358276367,1.770067409
19,SAT,0.2859702475664977,0.7747885346538235,0.21773004531860352,1.159328974
20,UNSAT,NaN,-0.28349123545301336,0.24669098854064941,1.122637139
21,UNSAT,NaN,-0.6804601026636252,0.12688803672790527,1.019476386
22,UNSAT,-1.0262893385591165,-0.06280603794436417,2.272891044616699,3.566671729
23,UNSAT,-0.9792424388387441,-0.9465747929772731,0.10201382637023926,0.715861844
24,UNSAT,-1.038421280898882,-1.010033684386117,0.11132001876831055,0.862912502
25,SAT,0.795207658086784,0.9860090405154176,6.647256135940552,7.855829685
