model,image,radius,result,time
mnist-net_256x4.onnx,image9,0.05,Timed Out, 900.0981
mnist-net_256x4.onnx,image10,0.05,Timed Out, 900.0995
mnist-net_256x4.onnx,image11,0.05,Timed Out, 900.0974
mnist-net_256x4.onnx,image12,0.05,Timed Out, 900.1006
mnist-net_256x4.onnx,image13,0.05,Timed Out, 900.0972
mnist-net_256x4.onnx,image14,0.05,Timed Out, 900.0983
mnist-net_256x4.onnx,image15,0.05,Timed Out, 900.0970
mnist-net_256x4.onnx,image16,0.05,Timed Out, 900.0968
mnist-net_256x4.onnx,image17,0.05,Timed Out, 900.0993
mnist-net_256x4.onnx,image18,0.05,Timed Out, 900.0971
mnist-net_256x4.onnx,image19,0.05,NOT Satis,  70.9781
mnist-net_256x4.onnx,image20,0.05,Timed Out, 900.0972
mnist-net_256x4.onnx,image21,0.05,Timed Out, 900.0990
mnist-net_256x4.onnx,image22,0.05,Timed Out, 900.0987
mnist-net_256x4.onnx,image23,0.05,Timed Out, 900.0972
mnist-net_256x4.onnx,image24,0.05,Timed Out, 900.0982
mnist-net_256x4.onnx,image25,0.05,Timed Out, 900.0979
mnist-net_256x6.onnx,image1,0.02,Timed Out, 900.0970
mnist-net_256x6.onnx,image2,0.02,Satisfied,   1.2060
mnist-net_256x6.onnx,image3,0.02,Timed Out, 900.0975
mnist-net_256x6.onnx,image4,0.02,Satisfied,  78.1257
mnist-net_256x6.onnx,image5,0.02,Satisfied, 419.6577
mnist-net_256x6.onnx,image6,0.02,Timed Out, 900.0995
mnist-net_256x6.onnx,image7,0.02,Timed Out, 900.0979
mnist-net_256x6.onnx,image8,0.02,Timed Out, 900.0986
mnist-net_256x6.onnx,image9,0.02,NOT Satis,   5.1873
mnist-net_256x6.onnx,image10,0.02,Satisfied, 423.9555
mnist-net_256x6.onnx,image11,0.02,Satisfied, 107.5664
mnist-net_256x6.onnx,image12,0.02,Timed Out, 900.0994
mnist-net_256x6.onnx,image13,0.02,Timed Out, 900.1008
mnist-net_256x6.onnx,image14,0.02,Timed Out, 900.0894
mnist-net_256x6.onnx,image15,0.02,Timed Out, 900.0994
mnist-net_256x6.onnx,image16,0.02,Satisfied, 683.2714
mnist-net_256x6.onnx,image17,0.02,Timed Out, 900.0988
mnist-net_256x6.onnx,image18,0.02,Timed Out, 900.0982
mnist-net_256x6.onnx,image19,0.02,Timed Out, 900.0998
mnist-net_256x6.onnx,image20,0.02,Satisfied, 364.6946
mnist-net_256x6.onnx,image21,0.02,Timed Out, 900.0983
mnist-net_256x6.onnx,image22,0.02,Timed Out, 900.0975
mnist-net_256x6.onnx,image23,0.02,Satisfied, 245.8606
mnist-net_256x6.onnx,image24,0.02,Satisfied, 257.9130
mnist-net_256x6.onnx,image25,0.02,Timed Out, 900.0981
mnist-net_256x6.onnx,image1,0.05,Timed Out, 900.0964
mnist-net_256x6.onnx,image2,0.05,Timed Out, 900.0985
mnist-net_256x6.onnx,image3,0.05,Timed Out, 900.0969
mnist-net_256x6.onnx,image4,0.05,Timed Out, 900.0993
mnist-net_256x6.onnx,image5,0.05,Timed Out, 900.0991
mnist-net_256x6.onnx,image6,0.05,Timed Out, 900.0992
mnist-net_256x6.onnx,image7,0.05,Timed Out, 900.0991
mnist-net_256x6.onnx,image8,0.05,Timed Out, 900.0969
mnist-net_256x6.onnx,image9,0.05,NOT Satis, 201.7524
mnist-net_256x6.onnx,image10,0.05,Timed Out, 900.0980
mnist-net_256x6.onnx,image11,0.05,Timed Out, 900.0991
mnist-net_256x6.onnx,image12,0.05,Timed Out, 900.0964
mnist-net_256x6.onnx,image13,0.05,Timed Out, 900.0994
mnist-net_256x6.onnx,image14,0.05,Timed Out, 900.0972
mnist-net_256x6.onnx,image15,0.05,Timed Out, 900.0965
mnist-net_256x6.onnx,image16,0.05,Timed Out, 900.0999
mnist-net_256x6.onnx,image17,0.05,Timed Out, 900.0985
mnist-net_256x6.onnx,image18,0.05,Timed Out, 900.0998
mnist-net_256x6.onnx,image19,0.05,NOT Satis,  16.6724
mnist-net_256x6.onnx,image20,0.05,Timed Out, 900.0985
mnist-net_256x6.onnx,image21,0.05,Timed Out, 900.1005
mnist-net_256x6.onnx,image22,0.05,Timed Out, 900.0997
mnist-net_256x6.onnx,image23,0.05,Timed Out, 900.0967
mnist-net_256x6.onnx,image24,0.05,Timed Out, 900.0998
mnist-net_256x6.onnx,image25,0.05,Timed Out, 900.0972
