SampleNumber,VerificationResult,ObjectiveValue,ObjectiveBound,MainSolveTime,TotalTime
1,UNSAT,NaN,-0.32766350317021053,0.24966096878051758,5.853182641
2,UNSAT,NaN,-0.8857324062039325,0.18749403953552246,3.23194593
3,Timeout,NaN,251.18688737431933,900.0047829151154,1625.455845162
4,UNSAT,NaN,-0.9479368829178472,0.21636009216308594,3.304606172
5,UNSAT,NaN,-0.21753829246157158,0.21747517585754395,3.761044551
6,UNSAT,NaN,-0.8224748865377842,1.380614995956421,25.23861514
7,Timeout,NaN,1.0915596245801462,900.0023300647736,1010.571157347
8,UNSAT,NaN,-0.8661381418534218,0.7468860149383545,11.996265166
9,SAT,0.3153861702683237,2.9367431618846838,192.16666293144226,268.269480249
10,UNSAT,NaN,-0.736368099250905,0.1489109992980957,2.886185402
11,UNSAT,NaN,-0.9826755216987639,0.15154504776000977,2.880928202
12,UNSAT,NaN,-0.8648552557983723,0.2885308265686035,6.113935197
13,UNSAT,NaN,-0.013721543045741013,16.396717071533203,44.531506219
14,UNSAT,NaN,-0.37697046918836435,0.2490251064300537,4.458508559
15,UNSAT,NaN,-0.07118327723651938,0.25266098976135254,5.570043525
16,UNSAT,NaN,-0.7856176476222961,0.21402287483215332,4.232285535
17,Timeout,NaN,60.97036225897095,900.0037689208984,1071.254547758
18,UNSAT,NaN,-0.7437497022950018,0.1968250274658203,4.162034143
19,Timeout,NaN,164.27742763029315,900.0042641162872,1256.805342749
20,UNSAT,NaN,-0.9235510466557988,0.1922590732574463,3.114665128
21,UNSAT,NaN,-0.6713540319277429,0.9750361442565918,16.509252524
22,UNSAT,NaN,-0.9602978032849676,0.27460813522338867,5.365689799
23,UNSAT,NaN,-0.9627075014318758,0.21828985214233398,4.217827055
24,UNSAT,NaN,-0.8705996039491054,0.2864859104156494,6.482266485
25,Timeout,NaN,199.21952539847183,900.0638689994812,1440.220050773
