Idx,Eps,prop,SAT,Branches,Time(s)
0,0.00784313725490196,,False,0,3.9070346355438232
1,0.00784313725490196,,False,0,3.7272098064422607
2,0.00784313725490196,,False,0,3.8148627281188965
3,0.00784313725490196,,False,0,3.698509693145752
4,0.00784313725490196,,False,0,3.7060680389404297
5,0.00784313725490196,,False,0,3.711577892303467
6,0.00784313725490196,,False,0,3.7179341316223145
,,,,,
8,0.00784313725490196,,False,0,3.6023504734039307
9,0.00784313725490196,,False,0,3.7383439540863037
10,0.00784313725490196,,False,0,3.717755079269409
11,0.00784313725490196,,False,0,3.616079092025757
12,0.00784313725490196,,False,0,3.6480183601379395
13,0.00784313725490196,,False,0,3.7244338989257812
14,0.00784313725490196,,False,0,3.7076821327209473
15,0.00784313725490196,,False,0,3.6969692707061768
16,0.00784313725490196,,False,0,3.7242543697357178
17,0.00784313725490196,,False,0,3.657949924468994
18,0.00784313725490196,,False,0,3.6434953212738037
19,0.00784313725490196,,False,0,3.6204168796539307
20,0.00784313725490196,,False,0,3.740725040435791
21,0.00784313725490196,,False,0,3.7227165699005127
,,,,,
23,0.00784313725490196,,False,0,3.645684003829956
,,,,,
25,0.00784313725490196,,False,0,3.7796571254730225
26,0.00784313725490196,,False,0,3.6529181003570557
27,0.00784313725490196,,False,0,3.7184367179870605
28,0.00784313725490196,,False,0,3.6048924922943115
29,0.00784313725490196,,False,0,3.7024121284484863
30,0.00784313725490196,,False,0,3.619607448577881
31,0.00784313725490196,,False,0,3.7323646545410156
32,0.00784313725490196,,False,0,3.7011818885803223
33,0.00784313725490196,,False,0,3.7172563076019287
34,0.00784313725490196,,False,0,3.707108497619629
,,,,,
36,0.00784313725490196,,False,0,221.11406779289246
37,0.00784313725490196,,False,0,3.3867104053497314
38,0.00784313725490196,,False,0,3.3973517417907715
39,0.00784313725490196,,False,0,3.3967092037200928
40,0.00784313725490196,,False,0,3.398693323135376
41,0.00784313725490196,,False,0,3.4014892578125
42,0.00784313725490196,,False,0,3.4153952598571777
43,0.00784313725490196,,False,0,3.518073797225952
44,0.00784313725490196,,False,0,3.4149961471557617
45,0.00784313725490196,,False,0,3.6183815002441406
46,0.00784313725490196,,False,0,3.4482901096343994
,,,,,
48,0.00784313725490196,,False,0,3.4405412673950195
,,,,,
50,0.00784313725490196,,False,0,3.552042245864868
51,0.00784313725490196,,False,0,3.4578146934509277
,,,,,
53,0.00784313725490196,,False,0,3.5102901458740234
54,0.00784313725490196,,False,0,3.459639072418213
55,0.00784313725490196,,False,0,3.5898449420928955
,,,,,
,,,,,
,,,,,
,,,,,
60,0.00784313725490196,,False,0,3.429366111755371
,,,,,
62,0.00784313725490196,,False,0,3.543985605239868
,,,,,
64,0.00784313725490196,,False,0,3.4456329345703125
65,0.00784313725490196,,False,0,3.6113288402557373
66,0.00784313725490196,,False,0,3.5789239406585693
67,0.00784313725490196,,False,0,3.587038993835449
68,0.00784313725490196,,False,0,3.602138042449951
,,,,,
,,,,,
71,0.00784313725490196,,False,0,3.4163429737091064
72,0.00784313725490196,,False,0,3.6007156372070312
73,0.00784313725490196,,False,0,3.5054478645324707
74,0.00784313725490196,,True,0,304.0552327632904
75,0.00784313725490196,,False,0,3.3847296237945557
76,0.00784313725490196,,False,0,3.39211106300354
77,0.00784313725490196,,False,0,3.3949766159057617
78,0.00784313725490196,,False,0,3.4233057498931885
79,0.00784313725490196,,False,0,3.407806396484375
80,0.00784313725490196,,False,0,3.517314910888672
81,0.00784313725490196,,False,0,3.4417178630828857
82,0.00784313725490196,,False,0,3.515885353088379
83,0.00784313725490196,,False,0,3.417515516281128
84,0.00784313725490196,,False,0,3.4229557514190674
,,,,,
86,0.00784313725490196,,False,0,3.5236380100250244
,,,,,
88,0.00784313725490196,,False,0,3.548171043395996
89,0.00784313725490196,,False,0,3.4127309322357178
90,0.00784313725490196,,False,0,3.5992045402526855
,,,,,
92,0.00784313725490196,,False,0,3.4354963302612305
93,0.00784313725490196,,False,0,3.5150434970855713
94,0.00784313725490196,,False,0,3.5574090480804443
95,0.00784313725490196,,False,0,3.4691174030303955
96,0.00784313725490196,,False,0,3.559453010559082
97,0.00784313725490196,,False,0,3.4378340244293213
98,0.00784313725490196,,False,0,3.4610588550567627
99,0.00784313725490196,,False,0,3.4231927394866943
