Idx,Eps,SAT,Branches,Time(s)
1,0.03137254901960784,True,0,1.0467522144317627
2,0.03137254901960784,True,0,1.0473413467407227
4,0.03137254901960784,True,0,1.044013261795044
5,0.03137254901960784,True,0,1.0454819202423096
9,0.03137254901960784,False,0,2.7122766971588135
10,0.03137254901960784,True,0,1.0491523742675781
11,0.03137254901960784,True,0,1.0486652851104736
13,0.03137254901960784,True,0,1.0444929599761963
14,0.03137254901960784,True,0,1.0446949005126953
15,0.03137254901960784,True,0,1.0487210750579834
16,0.03137254901960784,True,0,1.0495319366455078
18,0.03137254901960784,True,0,1.055670976638794
19,0.03137254901960784,True,0,1.04960036277771
21,0.03137254901960784,True,0,1.0455539226531982
23,0.03137254901960784,True,0,1.0502543449401855
28,0.03137254901960784,True,0,1.0458784103393555
29,0.03137254901960784,True,0,1.0452637672424316
30,0.03137254901960784,True,0,1.0457592010498047
32,0.03137254901960784,True,0,1.0535693168640137
33,0.03137254901960784,True,0,1.0536384582519531
34,0.03137254901960784,True,0,1.0561134815216064
38,0.03137254901960784,True,0,1.048264980316162
39,0.03137254901960784,False,0,2.716931104660034
41,0.03137254901960784,True,0,1.050703525543213
44,0.03137254901960784,True,0,1.0579078197479248
45,0.03137254901960784,True,0,1.048936128616333
49,0.03137254901960784,True,0,1.0512688159942627
50,0.03137254901960784,True,0,1.052490472793579
51,0.03137254901960784,True,0,1.0505032539367676
54,0.03137254901960784,True,0,1.0498971939086914
55,0.03137254901960784,True,0,1.0495760440826416
60,0.03137254901960784,False,0,2.724212169647217
64,0.03137254901960784,True,0,1.0508630275726318
66,0.03137254901960784,True,0,1.049651861190796
67,0.03137254901960784,True,8,8.221060991287231
71,0.03137254901960784,True,0,1.0560202598571777
72,0.03137254901960784,True,0,1.057340145111084
73,0.03137254901960784,True,0,1.053312063217163
74,0.03137254901960784,False,0,2.723759651184082
76,0.03137254901960784,True,0,1.0586695671081543
79,0.03137254901960784,False,16,10.135921239852905
80,0.03137254901960784,True,0,1.046949863433838
81,0.03137254901960784,True,0,1.0511953830718994
82,0.03137254901960784,True,0,1.0500643253326416
83,0.03137254901960784,False,0,2.720855236053467
84,0.03137254901960784,True,0,1.0549626350402832
86,0.03137254901960784,True,0,1.0553202629089355
88,0.03137254901960784,True,0,1.0556292533874512
89,0.03137254901960784,True,0,1.0515379905700684
90,0.03137254901960784,False,0,2.719869613647461
92,0.03137254901960784,True,0,1.056361436843872
95,0.03137254901960784,False,0,2.729961395263672
96,0.03137254901960784,True,0,1.0519356727600098
97,0.03137254901960784,True,0,1.0553467273712158
98,0.03137254901960784,True,0,1.0515742301940918
99,0.03137254901960784,False,0,2.7777206897735596
