mipverify_time mipverify_results network_id eps sample_number
42.59 SAT MNIST 0.3 64
- Timeout MNIST 0.3 65
- Timeout MNIST 0.3 67
- Timeout MNIST 0.3 68
158.41 UNSAT MNIST 0.3 69
- Timeout MNIST 0.3 70
8.70 UNSAT MNIST 0.3 71
27.55 UNSAT MNIST 0.3 72
- Timeout MNIST 0.3 73
25.98 SAT MNIST 0.3 74
9.93 UNSAT MNIST 0.3 75
- Timeout MNIST 0.3 76
27.96 UNSAT MNIST 0.3 77
- Timeout MNIST 0.3 78
130.84 UNSAT MNIST 0.3 79
7.96 UNSAT MNIST 0.3 80
10.22 UNSAT MNIST 0.3 81
35.16 UNSAT MNIST 0.3 82
14.45 UNSAT MNIST 0.3 83
10.81 UNSAT MNIST 0.3 84
- Timeout MNIST 0.3 85
11.67 UNSAT MNIST 0.3 86
11.93 UNSAT MNIST 0.3 87
- Timeout MNIST 0.3 88
23.51 UNSAT MNIST 0.3 89
7.82 UNSAT MNIST 0.3 90
63.29 UNSAT MNIST 0.3 91
32.34 UNSAT MNIST 0.3 92
174.11 SAT MNIST 0.3 93
103.96 UNSAT MNIST 0.3 94
6.03 UNSAT MNIST 0.3 95
243.28 UNSAT MNIST 0.3 96
7.61 UNSAT MNIST 0.3 97
177.34 UNSAT MNIST 0.3 98
- Timeout MNIST 0.3 99
22.02 UNSAT MNIST 0.3 100
