PropertyID,NetworkID,VerificationResult,InternalSolveStatus,ObjectiveValue,ObjectiveBound,InputValue,OutputValue,MainSolveTime,TotalTime
1,1_1,Timeout,UserLimit,-4.0112476887892345,68.57404491846057,NaN,NaN,300.01608085632324,308.500427861
1,1_2,Timeout,UserLimit,-4.011522246438805,78.86143625608634,NaN,NaN,300.005567073822,309.671551365
1,1_3,Timeout,UserLimit,-4.010684782337751,192.65422217746107,NaN,NaN,300.00260400772095,312.328386663
1,1_4,Timeout,UserLimit,-4.010143292936734,35.2950190266064,NaN,NaN,300.00284695625305,310.13702181
1,1_5,Timeout,UserLimit,-4.010437195464743,19.570954801160294,NaN,NaN,300.01419401168823,309.79095378
1,1_6,Timeout,UserLimit,-4.010022935377006,18.663563413916723,NaN,NaN,300.0023069381714,310.120204915
1,1_7,Timeout,UserLimit,-4.010316121557903,9.676387256623187,NaN,NaN,300.0043730735779,309.784931898
1,1_8,UNSAT,UserObjLimit,-4.010052073540186,-0.10195969347285039,NaN,NaN,51.853846073150635,62.349216062
1,1_9,UNSAT,UserObjLimit,-4.010144274730158,-0.002463467868267075,NaN,NaN,74.28302597999573,86.615290874
1,2_1,Timeout,UserLimit,-3.9512057850046878,110.43427158703106,NaN,NaN,300.01500606536865,311.424525501
1,2_2,Timeout,UserLimit,-3.9705902670112283,202.25496706800797,NaN,NaN,300.00126004219055,311.404158086
1,2_3,Timeout,UserLimit,-3.9356161071487925,105.17258576962794,NaN,NaN,300.02437806129456,310.242855784
1,2_4,Timeout,UserLimit,-3.965982127129883,56.309100034574016,NaN,NaN,300.00098180770874,308.006081957
1,2_5,Timeout,UserLimit,-3.9648198625847133,244.39426811290818,NaN,NaN,300.0098259449005,311.58172126
1,2_6,Timeout,UserLimit,-3.9662624770242823,726.2515056817688,NaN,NaN,300.00304198265076,312.401881564
1,2_7,Timeout,UserLimit,-3.9548643711656783,1529.2174875433668,NaN,NaN,300.0246639251709,314.585327229
1,2_8,Timeout,UserLimit,-3.9452456032969643,1751.8484419942652,NaN,NaN,300.0017559528351,316.259987804
1,2_9,Timeout,UserLimit,-3.9725858188333563,1329.359341028614,NaN,NaN,300.001718044281,314.848059581
1,3_1,Timeout,UserLimit,-3.952374242663395,113.6132990648803,NaN,NaN,300.0118160247803,309.839527476
1,3_2,Timeout,UserLimit,-3.9663009172370565,133.41827170082442,NaN,NaN,300.00186491012573,312.551413827
1,3_3,Timeout,UserLimit,-3.9708008686733858,130.51744954666705,NaN,NaN,300.01556301116943,311.053659136
1,3_4,Timeout,UserLimit,-3.9516362485010945,54.98358737202688,NaN,NaN,300.0014750957489,309.219584943
1,3_5,Timeout,UserLimit,-3.95567151732536,168.53411132845304,NaN,NaN,300.0156030654907,310.85104481
1,3_6,Timeout,UserLimit,-3.9679591945869297,707.2295556704663,NaN,NaN,300.00436997413635,312.076350168
1,3_7,Timeout,UserLimit,-3.9691337560085316,1625.5855220150352,NaN,NaN,300.0047540664673,316.156602857
1,3_8,Timeout,UserLimit,-3.969901793959594,1363.1143651011168,NaN,NaN,300.0013267993927,313.239452989
1,3_9,Timeout,UserLimit,-3.931735625689598,1725.9733022417352,NaN,NaN,300.0040340423584,315.049584357
1,4_1,Timeout,UserLimit,-3.97192533780367,126.7312279925154,NaN,NaN,300.0037291049957,310.598526755
1,4_2,Timeout,UserLimit,-3.961249492778562,146.4524257725049,NaN,NaN,300.00109696388245,312.717068664
1,4_3,Timeout,UserLimit,-3.954311798371359,162.24147920899244,NaN,NaN,300.0033149719238,310.625008695
1,4_4,Timeout,UserLimit,-3.9608534800835873,119.9820320908059,NaN,NaN,300.0061058998108,308.969540489
1,4_5,Timeout,UserLimit,-3.948885215059286,407.4954795431716,NaN,NaN,300.00150179862976,315.359985212
1,4_6,Timeout,UserLimit,-3.959364488743953,1474.94006212902,NaN,NaN,300.00327587127686,316.291758591
1,4_7,Timeout,UserLimit,-3.9638241921386412,1514.0137316229227,NaN,NaN,300.00151896476746,313.54281468
