SampleNumber,VerificationResult,ObjectiveValue,ObjectiveBound,MainSolveTime,TotalTime
1,Timeout,-0.8468712186768703,6710.762059827218,900.015508890152,3856.121220171
2,Timeout,-0.8773126226837943,369.8741908411449,900.0066890716553,1534.127019242
3,Timeout,-0.9685870870105039,23442.081057716947,900.0172839164734,4723.941814019
4,Timeout,-0.9947250417164171,5118.368811166187,900.0102260112762,3300.006777876
5,Timeout,-0.9506826442365821,11843.212285895364,900.0093579292297,3716.480462979
6,Timeout,-0.9776835967493887,14698.681381061346,900.0101330280304,3965.736430934
