SampleNumber,VerificationResult,ObjectiveValue,ObjectiveBound,MainSolveTime,TotalTime
1,UNSAT,NaN,-0.3782233166167208,0.23238801956176758,2.689459904
2,UNSAT,NaN,-0.9168859330440926,0.13370513916015625,1.67074487
3,UNSAT,NaN,-0.008536225279753597,13.11449384689331,23.728823302
4,UNSAT,NaN,-0.9801532244895382,0.14717888832092285,1.704014131
5,UNSAT,NaN,-0.9682612991691605,0.23835992813110352,2.63595077
6,UNSAT,NaN,-0.8884399729167713,1.5723819732666016,8.137423558
7,UNSAT,NaN,-0.3198107659808236,0.29325103759765625,2.581685223
8,Timeout,-0.8506511470990061,0.4502791141687711,900.046205997467,913.155391766
9,UNSAT,NaN,-0.43348519236935357,0.34324121475219727,3.684303322
10,UNSAT,-0.9968196449164038,-0.9457211559163946,0.17663908004760742,1.951499074
11,UNSAT,NaN,-0.7152414440202806,0.22251296043395996,2.597262575
12,UNSAT,NaN,-0.9766208576608492,0.15764212608337402,2.067698631
13,UNSAT,NaN,-0.46793045492614527,0.20289397239685059,2.38482003
14,UNSAT,NaN,-0.9726193584765813,0.15290021896362305,2.021638538
15,UNSAT,NaN,-0.9604217718615086,0.4093661308288574,3.498964789
16,UNSAT,NaN,-0.9755202821753531,0.1732189655303955,2.475764033
17,UNSAT,NaN,-0.05887268602499349,0.26815009117126465,5.898258541
18,UNSAT,NaN,-0.9777726718447577,0.15324687957763672,1.823623339
19,SAT,0.18619105267601077,0.8019287507282273,16.076968908309937,22.332782219
20,UNSAT,NaN,-0.08044678670454952,0.33197498321533203,4.143150867
21,UNSAT,-0.9619719975696833,-0.016328984808670025,19.73120903968811,24.651215196
22,UNSAT,NaN,-0.9339458947536907,0.3146629333496094,3.012004601
23,UNSAT,NaN,-0.9779158318501653,0.19386601448059082,2.325316567
24,UNSAT,NaN,-0.9787780053480906,0.1872398853302002,2.212029308
25,UNSAT,NaN,-0.7064685347176958,1.078420877456665,11.982352268
